Well,Sample ID,Time (Minutes),RFUs,Gain Setting,Chromatic Settings,Expression Product,Amplicon DNA Template,Energy Solution,Experiment #,Lysate_First,Reaction Type,Replicate,System,lysate_aspirate_height_inc,lysate_aspirate_height_init,substrates_aspirate_height_inc,substrates_aspirate_height_init,wax_air_gap,wax_dispense_height,wax_dispense_volume,wax_disposal_volume,wax_new_tip,wax_touch_tip,Reaction Temperature (°C),Performed by,Instrument,Plate Reader Run #,Assay Date
B15,Sample X7,4,2955,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,7,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B17,Sample X8,4,2816,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,8,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B19,Sample X9,4,2904,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,9,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B21,Sample X10,4,2680,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,10,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D03,Sample X11,4,2990,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,1,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D05,Sample X12,4,2959,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,2,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D07,Sample X13,4,2977,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,3,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D09,Sample X14,4,2896,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,4,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D11,Sample X15,4,2948,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,5,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D13,Sample X16,4,3003,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,6,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D15,Sample X17,4,2899,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,7,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D17,Sample X18,4,3078,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,8,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D19,Sample X19,4,3094,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,9,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D21,Sample X20,4,3044,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,10,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B03,Sample X1,6,2837,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B05,Sample X2,6,3699,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B07,Sample X3,6,2973,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B09,Sample X4,6,2837,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B11,Sample X5,6,2996,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B13,Sample X6,6,3014,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
